Title,Year,Runtime,IMDB_Rating,Metascore,Votes,Description,Decade,Rating_Category,Runtime_Category
Dangal,2016,161,8.3,78.69,34709,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,2010,Very Good,Long (120–180 min)
Drishyam,2013,160,8.3,78.69,34709,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,2010,Very Good,Long (120–180 min)
The Hunt,2012,115,8.3,77.0,34709,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",2010,Very Good,Standard (90–120 min)
A Separation,2011,123,8.3,95.0,34709,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,2010,Very Good,Long (120–180 min)
Incendies,2010,131,8.3,80.0,34709,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,2010,Very Good,Long (120–180 min)
Spider-Man: No Way Home,2021,148,8.3,71.0,34709,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",2020,Very Good,Long (120–180 min)
Up,2009,96,8.3,88.0,34709,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",2000,Very Good,Standard (90–120 min)
Like Stars on Earth,2007,165,8.3,78.69,34709,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",2000,Very Good,Long (120–180 min)
Toy Story 3,2010,103,8.3,92.0,34709,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",2010,Very Good,Standard (90–120 min)
Inglourious Basterds,2009,153,8.3,69.0,34709,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2000,Very Good,Long (120–180 min)
Eternal Sunshine of the Spotless Mind,2004,108,8.3,89.0,34709,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",2000,Very Good,Standard (90–120 min)
Amélie,2001,122,8.3,69.0,34709,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",2000,Very Good,Long (120–180 min)
Snatch,2000,102,8.3,55.0,34709,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2000,Very Good,Standard (90–120 min)
Requiem for a Dream,2000,102,8.3,68.0,34709,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,2000,Very Good,Standard (90–120 min)
Good Will Hunting,1997,126,8.3,70.0,34709,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1990,Very Good,Long (120–180 min)
Toy Story,1995,81,8.3,95.0,34709,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,1990,Very Good,Short (<90 min)
Heat,1995,170,8.3,76.0,34709,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,1990,Very Good,Long (120–180 min)
Reservoir Dogs,1992,99,8.3,79.0,34709,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1990,Very Good,Standard (90–120 min)
Full Metal Jacket,1987,116,8.3,76.0,34709,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1980,Very Good,Standard (90–120 min)
Once Upon a Time in America,1984,229,8.3,75.0,34709,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",1980,Very Good,Epic (>180 min)
Scarface,1983,170,8.3,65.0,34709,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",1980,Very Good,Long (120–180 min)
Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58.0,34709,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",1980,Very Good,Long (120–180 min)
The Sting,1973,129,8.3,83.0,34709,Two grifters team up to pull off the ultimate con.,1970,Very Good,Long (120–180 min)
A Clockwork Orange,1971,136,8.3,77.0,34709,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",1970,Very Good,Long (120–180 min)
2001: A Space Odyssey,1968,149,8.3,84.0,34709,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",1960,Very Good,Long (120–180 min)
To Kill a Mockingbird,1962,129,8.3,88.0,34709,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",1960,Very Good,Long (120–180 min)
Lawrence of Arabia,1962,218,8.3,100.0,34709,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",1960,Very Good,Epic (>180 min)
Judgment at Nuremberg,1961,179,8.3,60.0,34709,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",1960,Very Good,Long (120–180 min)
The Apartment,1960,125,8.3,94.0,34709,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",1960,Very Good,Long (120–180 min)
North by Northwest,1959,136,8.3,98.0,34709,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",1950,Very Good,Long (120–180 min)
Vertigo,1958,128,8.3,100.0,34709,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",1950,Very Good,Long (120–180 min)
Pather Panchali,1955,125,8.3,78.69,34709,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",1950,Very Good,Long (120–180 min)
Singin' in the Rain,1952,103,8.3,99.0,34709,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,1950,Very Good,Standard (90–120 min)
Ikiru,1952,143,8.3,91.0,34709,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,1950,Very Good,Long (120–180 min)
Bicycle Thieves,1948,89,8.3,78.69,34709,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",1940,Very Good,Short (<90 min)
Double Indemnity,1944,107,8.3,95.0,34709,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",1940,Very Good,Standard (90–120 min)
Citizen Kane,1941,119,8.3,100.0,34709,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",1940,Very Good,Standard (90–120 min)
M,1931,99,8.3,78.69,34709,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",1930,Very Good,Standard (90–120 min)
Metropolis,1927,153,8.3,98.0,34709,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",1920,Very Good,Long (120–180 min)
The Kid,1921,68,8.3,78.69,34709,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",1920,Very Good,Short (<90 min)
Chhichhore,2019,143,8.2,78.69,34709,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",2010,Very Good,Long (120–180 min)
1917,2019,119,8.2,78.0,34709,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",2010,Very Good,Standard (90–120 min)
